chr	B	bias	conv	pGC	pop	mType	dataset
chr6	0.445974039301446	2.10945347301238	OK	0.423407926736001	YRI	TS (CpG+)	original
chr7	0.634771512323149	2.18228856480221	OK	0.43895038384574	YRI	TS (CpG+)	original
chr8	0.549369973048935	2.09897597041756	OK	0.429675442509686	YRI	TS (CpG+)	original
chr9	0.641431267393558	1.98285861966876	OK	0.446602685849671	YRI	TS (CpG+)	original
chr10	0.672100153536347	2.49964214475892	OK	0.448863520885908	YRI	TS (CpG+)	original
chr11	0.857899942295619	2.33505342568791	OK	0.449328864828697	YRI	TS (CpG+)	original
chr12	0.65858781299023	2.22219485662324	OK	0.433872800101587	YRI	TS (CpG+)	original
chr13	0.373190745595619	1.99750570672993	OK	0.415657750801098	YRI	TS (CpG+)	original
chr14	0.714240237149168	2.33963903089862	OK	0.438932950073205	YRI	TS (CpG+)	original
chr15	0.740385957002589	1.99567354059067	OK	0.447812404962974	YRI	TS (CpG+)	original
chr16	0.870027068091537	2.10188241068736	OK	0.481703299457707	YRI	TS (CpG+)	original
chr17	0.73222667541474	2.32567715515914	OK	0.490795178833456	YRI	TS (CpG+)	original
chr18	0.549458595136225	2.14549324697411	OK	0.428396981573565	YRI	TS (CpG+)	original
chr19	0.833773601672212	2.7901902972002	OK	0.523666435383028	YRI	TS (CpG+)	original
chr20	0.767593828773218	2.21977462247044	OK	0.474992375292163	YRI	TS (CpG+)	original
chr21	0.683334282088819	2.33916761034179	OK	0.456911892699912	YRI	TS (CpG+)	original
chr22	0.736991422614426	2.43514431151109	OK	0.523688698958504	YRI	TS (CpG+)	original
chr1	0.442056381318188	2.15804822815364	OK	0.447308337379417	TSI	TS (CpG+)	original
chr2	0.464693844126372	2.18318075270302	OK	0.432707592290066	TSI	TS (CpG+)	original
chr3	0.493618752764994	2.00310562731126	OK	0.416607881807135	TSI	TS (CpG+)	original
chr4	0.447202155206818	2.19109297091873	OK	0.406820655723624	TSI	TS (CpG+)	original
chr5	0.471131077239303	2.20088908294805	OK	0.42419776476922	TSI	TS (CpG+)	original
chr6	0.423271296667586	2.21389997107021	OK	0.424407021136769	TSI	TS (CpG+)	original
chr7	0.529318398752389	2.28340429563555	OK	0.438878376403541	TSI	TS (CpG+)	original
chr8	0.446020097997755	2.19769082372298	OK	0.429617093856315	TSI	TS (CpG+)	original
chr9	0.67551865663096	2.14296970124195	OK	0.44605129297577	TSI	TS (CpG+)	original
chr10	0.382130040623783	2.26169685501813	OK	0.449902399223326	TSI	TS (CpG+)	original
chr11	0.509045053163823	2.11733136613102	OK	0.447976908828988	TSI	TS (CpG+)	original
chr12	0.5322537636328	2.28928824312314	OK	0.434157991050679	TSI	TS (CpG+)	original
chr13	0.409681470116741	2.22548474383955	OK	0.415182093052037	TSI	TS (CpG+)	original
chr14	0.536365132174141	2.12536722897513	OK	0.438072892141982	TSI	TS (CpG+)	original
chr15	0.732201485050474	2.04107923962818	OK	0.447401804602382	TSI	TS (CpG+)	original
chr16	0.859660184483248	2.17903186807333	OK	0.47984036724148	TSI	TS (CpG+)	original
chr17	0.636933009778418	2.29160559948705	OK	0.492595972533831	TSI	TS (CpG+)	original
chr18	0.352152188384804	2.23143567286912	OK	0.429128487765801	TSI	TS (CpG+)	original
chr19	0.717556896356575	2.60676593236942	OK	0.524429603090355	TSI	TS (CpG+)	original
chr20	0.652710152481544	2.29712544421183	OK	0.47638205082459	TSI	TS (CpG+)	original
chr21	0.562198178470773	2.39867601965287	OK	0.456947686698326	TSI	TS (CpG+)	original
chr22	0.649174248945095	2.46140230341172	OK	0.522782185666667	TSI	TS (CpG+)	original
chr1	0.460241663082163	2.23155142133156	OK	0.449260703433761	CHB	TS (CpG+)	original
chr2	0.393998326776047	2.13114890815506	OK	0.433445203840091	CHB	TS (CpG+)	original
chr3	0.466685646082334	2.01888186289849	OK	0.416750135986469	CHB	TS (CpG+)	original
chr4	0.386707220733485	2.13420280578277	OK	0.405713763293546	CHB	TS (CpG+)	original
chr5	0.427352382153793	2.11809742198493	OK	0.424044226547087	CHB	TS (CpG+)	original
chr6	0.386878208268102	2.18078832589355	OK	0.42432106960843	CHB	TS (CpG+)	original
chr7	0.474761028294754	2.20922416847187	OK	0.438305590287339	CHB	TS (CpG+)	original
chr8	0.425596328367925	2.11745730176077	OK	0.43009188641016	CHB	TS (CpG+)	original
chr9	0.604693632607728	2.09108181228482	OK	0.445744478299071	CHB	TS (CpG+)	original
chr10	0.331706816908316	2.33281750471212	OK	0.44953650802563	CHB	TS (CpG+)	original
chr11	0.548885513969483	2.15881550646894	OK	0.447936471927053	CHB	TS (CpG+)	original
chr12	0.313742680651296	2.17238551211673	OK	0.434495018037731	CHB	TS (CpG+)	original
chr13	0.372179417538379	2.12823656468534	OK	0.41632445950649	CHB	TS (CpG+)	original
chr14	0.583158653021282	2.17938021797247	OK	0.438490609527838	CHB	TS (CpG+)	original
chr15	0.561885961902215	2.01788614431703	OK	0.447155678361279	CHB	TS (CpG+)	original
chr16	0.742521503204623	2.18293627310953	OK	0.478284678116463	CHB	TS (CpG+)	original
chr17	0.582325017297589	2.36651075934444	OK	0.490466144286676	CHB	TS (CpG+)	original
chr18	0.452184740487897	2.2693240524841	OK	0.429361096211884	CHB	TS (CpG+)	original
chr19	0.587753446956544	2.58815963861446	OK	0.521317348546763	CHB	TS (CpG+)	original
chr20	0.517613579622958	2.26624094666414	OK	0.474887498187079	CHB	TS (CpG+)	original
chr21	0.587817570909761	2.48023890801281	OK	0.455579726647807	CHB	TS (CpG+)	original
chr22	0.769795440579283	2.44368460136991	OK	0.522753879498575	CHB	TS (CpG+)	original
chr1	0.401530350178029	2.41981571567162	OK	0.410290134551131	YRI	TV (CpG-)	original
chr2	0.582390717277349	2.41630404890964	OK	0.397773753979045	YRI	TV (CpG-)	original
chr3	0.576926459352111	2.4698832340571	OK	0.387846759239608	YRI	TV (CpG-)	original
chr4	0.651173965573826	2.92727608008555	OK	0.375546887901391	YRI	TV (CpG-)	original
chr5	0.549174197171666	2.50875189551487	OK	0.388581357180729	YRI	TV (CpG-)	original
chr6	0.563064276912957	2.70011858854771	OK	0.389660999547971	YRI	TV (CpG-)	original
chr7	0.572690492293534	2.36717182466286	OK	0.397790008971034	YRI	TV (CpG-)	original
chr8	0.586610093413135	2.67149554134836	OK	0.396610978212938	YRI	TV (CpG-)	original
chr9	0.824027351149077	2.54395388120091	OK	0.403419921942384	YRI	TV (CpG-)	original
chr10	0.474330120914558	2.44388845515133	OK	0.411145380463524	YRI	TV (CpG-)	original
chr11	0.682436767509444	2.55242169554992	OK	0.40892537134754	YRI	TV (CpG-)	original
chr12	0.401076369218843	2.39054303614632	OK	0.397030615232237	YRI	TV (CpG-)	original
chr13	0.535222070918345	2.55042071755373	OK	0.379012024688818	YRI	TV (CpG-)	original
chr14	0.554926008188285	2.41558939145134	OK	0.401306913356862	YRI	TV (CpG-)	original
chr15	0.906748043572843	2.39740408191374	OK	0.417029479736473	YRI	TV (CpG-)	original
chr16	0.855197982944034	2.24807379175524	OK	0.442344174832068	YRI	TV (CpG-)	original
chr17	0.599109421207289	2.23598441265698	OK	0.449184342534465	YRI	TV (CpG-)	original
chr18	0.54801766148023	2.45506992981382	OK	0.392752642933091	YRI	TV (CpG-)	original
chr19	0.350402900486195	2.17560053703255	OK	0.483190547731923	YRI	TV (CpG-)	original
chr20	0.625589257873679	2.33129999568609	OK	0.438600176459479	YRI	TV (CpG-)	original
chr21	0.645907796789533	2.34493652329492	OK	0.401841757176769	YRI	TV (CpG-)	original
chr22	0.534176554658591	2.09876700200319	OK	0.486409798302062	YRI	TV (CpG-)	original
chr1	0.146628294429714	2.2781823804836	OK	0.410537686647489	TSI	TV (CpG-)	original
chr2	0.406161904707678	2.3542949358463	OK	0.397982594685792	TSI	TV (CpG-)	original
chr3	0.362083396064736	2.39407615629084	OK	0.388389702900208	TSI	TV (CpG-)	original
chr4	0.352145770242085	2.54738649983534	OK	0.376432669005312	TSI	TV (CpG-)	original
chr5	0.329474374196458	2.45172678612154	OK	0.389522801197846	TSI	TV (CpG-)	original
chr6	0.323625110163667	2.37711679431477	OK	0.390888404429471	TSI	TV (CpG-)	original
chr7	0.450936529851213	2.33492952296385	OK	0.398718474252047	TSI	TV (CpG-)	original
chr8	0.37635709372928	2.36087326993122	OK	0.396805109626908	TSI	TV (CpG-)	original
chr9	0.542113370760077	2.2307541367671	OK	0.402532329740999	TSI	TV (CpG-)	original
chr10	0.306600063135036	2.33067154810511	OK	0.412690650100054	TSI	TV (CpG-)	original
chr11	0.463037468141323	2.34620987765956	OK	0.408574104397303	TSI	TV (CpG-)	original
chr12	0.324404057997477	2.32404412287994	OK	0.397738906149621	TSI	TV (CpG-)	original
chr13	0.34704556260257	2.41164568562975	OK	0.378983824026365	TSI	TV (CpG-)	original
chr14	0.422560716893381	2.33235397869468	OK	0.400718971530812	TSI	TV (CpG-)	original
chr15	0.558309690781457	2.13063325828317	OK	0.416301252629998	TSI	TV (CpG-)	original
chr16	0.518516372794201	2.08210162666429	OK	0.440648079034749	TSI	TV (CpG-)	original
chr17	0.530853360989889	2.14873550345002	OK	0.452000349904206	TSI	TV (CpG-)	original
chr18	0.382341149318267	2.35062655528623	OK	0.393700996833038	TSI	TV (CpG-)	original
chr19	0.148802692308699	2.10324587922342	OK	0.48468015687644	TSI	TV (CpG-)	original
chr20	0.493350221184414	2.32668876380122	OK	0.438075330208061	TSI	TV (CpG-)	original
chr21	0.370320864487162	2.25110680822802	OK	0.404961936715416	TSI	TV (CpG-)	original
chr22	0.524029278531064	2.1144357747736	OK	0.485209268398461	TSI	TV (CpG-)	original
chr1	0.0181975912734836	2.12519937710421	OK	0.41133601391521	CHB	TV (CpG-)	original
chr2	0.294877734174541	2.21453985912798	OK	0.397849367887143	CHB	TV (CpG-)	original
chr3	0.31005982737608	2.24813504821776	OK	0.38903048437542	CHB	TV (CpG-)	original
chr4	0.240021506871547	2.41752291819982	OK	0.375948843114599	CHB	TV (CpG-)	original
chr5	0.307158486412898	2.34605217180359	OK	0.389261836741083	CHB	TV (CpG-)	original
chr6	0.280247982151794	2.3248478245351	OK	0.39070039911554	CHB	TV (CpG-)	original
chr7	0.33689515005153	2.35479730795475	OK	0.397824358906548	CHB	TV (CpG-)	original
chr8	0.246673242981458	2.23209005524573	OK	0.397199238592822	CHB	TV (CpG-)	original
chr9	0.474998197120472	2.19104689205125	OK	0.402745596470975	CHB	TV (CpG-)	original
chr10	0.242094272869123	2.23872725646148	OK	0.41279351665989	CHB	TV (CpG-)	original
chr11	0.353420660818723	2.25631818934973	OK	0.408072375168245	CHB	TV (CpG-)	original
chr12	0.345666249807118	2.45376918170182	OK	0.397367698121598	CHB	TV (CpG-)	original
chr13	0.364027261913178	2.50674103541333	OK	0.378673148480818	CHB	TV (CpG-)	original
chr14	0.183593297139363	2.22037617399396	OK	0.400771186087543	CHB	TV (CpG-)	original
chr15	0.506456052861887	2.1119025193556	OK	0.416377118078956	CHB	TV (CpG-)	original
chr16	0.487334421029028	2.07363558671185	OK	0.440333333638981	CHB	TV (CpG-)	original
chr17	0.436770099647431	2.12490959710958	OK	0.451550572318683	CHB	TV (CpG-)	original
chr18	0.327105481810977	2.23545409091631	OK	0.394096899024438	CHB	TV (CpG-)	original
chr19	0.272923451357906	1.96939390221987	OK	0.481801873471444	CHB	TV (CpG-)	original
chr20	0.320561801672383	2.12342478801492	OK	0.437432532323986	CHB	TV (CpG-)	original
chr21	0.3883466422188	2.22290669302933	OK	0.40232306952268	CHB	TV (CpG-)	original
chr22	0.368612183177991	1.93150025175928	OK	0.485683892618626	CHB	TV (CpG-)	original
chr1	0.13123049318859	0.606834679241233	OK	0.447710722392878	YRI	TV (CpG+)	original
chr2	0.0916277616708609	0.558770577874866	OK	0.432812104194955	YRI	TV (CpG+)	original
chr3	0.0896863952206072	0.512040168927239	OK	0.417057657142034	YRI	TV (CpG+)	original
chr4	0.0155350887000049	0.588815475725496	OK	0.406531397902873	YRI	TV (CpG+)	original
chr5	-0.223690749325433	0.520245346333633	OK	0.422756845945607	YRI	TV (CpG+)	original
chr6	0.01202386085489	0.599910783827851	OK	0.423407926736001	YRI	TV (CpG+)	original
chr7	0.264377233233867	0.595663599955703	OK	0.43895038384574	YRI	TV (CpG+)	original
chr8	0.0820922571995787	0.603497849049128	OK	0.429675442509686	YRI	TV (CpG+)	original
chr9	0.449110347201791	0.542716955836206	OK	0.446602685849671	YRI	TV (CpG+)	original
chr10	0.0970387192794537	0.649587015261535	OK	0.448863520885908	YRI	TV (CpG+)	original
chr11	0.217363620424196	0.583283581755203	OK	0.449328864828697	YRI	TV (CpG+)	original
chr12	0.0364296510050408	0.601486377233989	OK	0.433872800101587	YRI	TV (CpG+)	original
chr13	0.13231284594751	0.633952085486118	OK	0.415657750801098	YRI	TV (CpG+)	original
chr14	0.258434499640731	0.629709868280066	OK	0.438932950073205	YRI	TV (CpG+)	original
chr15	0.401708660268826	0.54275096086614	OK	0.447812404962974	YRI	TV (CpG+)	original
chr16	0.633541110984497	0.67542284481969	ERROR: ABNORMAL_TERMINATION_IN_LNSRCH	0.481703299457707	YRI	TV (CpG+)	original
chr17	0.0625942821421586	0.639834370955271	OK	0.490795178833456	YRI	TV (CpG+)	original
chr18	0.207888201686631	0.630233506594854	OK	0.428396981573565	YRI	TV (CpG+)	original
chr19	0.125187717681298	0.741805183867924	OK	0.523666435383028	YRI	TV (CpG+)	original
chr20	0.150963920364352	0.65559738738378	OK	0.474992375292163	YRI	TV (CpG+)	original
chr21	0.0985793867333791	0.684002587397143	OK	0.456911892699912	YRI	TV (CpG+)	original
chr22	0.404694436695678	0.674878046728395	OK	0.523688698958504	YRI	TV (CpG+)	original
chr1	0.111792867739903	0.672746789148003	OK	0.447308337379417	TSI	TV (CpG+)	original
chr2	0.21492261749153	0.656184818703574	OK	0.432707592290066	TSI	TV (CpG+)	original
chr3	0.255455403890701	0.614912873375568	OK	0.416607881807135	TSI	TV (CpG+)	original
chr4	0.162164253415124	0.680046739763452	OK	0.406820655723624	TSI	TV (CpG+)	original
chr5	-0.0171291950068457	0.592727837052417	OK	0.42419776476922	TSI	TV (CpG+)	original
chr6	0.0678487991977405	0.683227588988945	OK	0.424407021136769	TSI	TV (CpG+)	original
chr7	0.316310340918695	0.654759545665021	OK	0.438878376403541	TSI	TV (CpG+)	original
chr8	0.245815233479846	0.687984136071337	OK	0.429617093856315	TSI	TV (CpG+)	original
chr9	0.69874301778381	0.662858362393345	OK	0.44605129297577	TSI	TV (CpG+)	original
chr10	0.338026207304837	0.75131891885895	OK	0.449902399223326	TSI	TV (CpG+)	original
chr11	0.128757878917279	0.633272727969781	OK	0.447976908828988	TSI	TV (CpG+)	original
chr12	0.179859714863062	0.635857514904999	OK	0.434157991050679	TSI	TV (CpG+)	original
chr13	0.244993901359545	0.723485491413076	OK	0.415182093052037	TSI	TV (CpG+)	original
chr14	0.21938270862266	0.648935545196851	OK	0.438072892141982	TSI	TV (CpG+)	original
chr15	0.307897209474154	0.667300907388373	OK	0.447401804602382	TSI	TV (CpG+)	original
chr16	0.290904092562356	0.699905673668264	OK	0.47984036724148	TSI	TV (CpG+)	original
chr17	0.176033849943361	0.676502070685487	OK	0.492595972533831	TSI	TV (CpG+)	original
chr18	0.230098580557383	0.793479321985777	OK	0.429128487765801	TSI	TV (CpG+)	original
chr19	0.365865192854255	0.783995465855646	OK	0.524429603090355	TSI	TV (CpG+)	original
chr20	0.144989986576592	0.709712199141818	OK	0.47638205082459	TSI	TV (CpG+)	original
chr21	-0.0209775579514631	0.775891075429724	ERROR: ABNORMAL_TERMINATION_IN_LNSRCH	0.456947686698326	TSI	TV (CpG+)	original
chr22	-0.0944235720259519	0.719020149848524	OK	0.522782185666667	TSI	TV (CpG+)	original
chr1	0.252234472607208	0.731289519393162	OK	0.449260703433761	CHB	TV (CpG+)	original
chr2	0.0868779080378841	0.701307935128533	OK	0.433445203840091	CHB	TV (CpG+)	original
chr3	0.168595751585087	0.629078303275416	OK	0.416750135986469	CHB	TV (CpG+)	original
chr4	0.157104886007353	0.704272934803673	OK	0.405713763293546	CHB	TV (CpG+)	original
chr5	0.0270053308031746	0.597622117750662	OK	0.424044226547087	CHB	TV (CpG+)	original
chr6	0.152189654072195	0.695845256417071	OK	0.42432106960843	CHB	TV (CpG+)	original
chr7	0.177585823722152	0.648272930235763	OK	0.438305590287339	CHB	TV (CpG+)	original
chr8	0.222698156364487	0.680887921787475	OK	0.43009188641016	CHB	TV (CpG+)	original
chr9	0.659898702337668	0.640086124304988	OK	0.445744478299071	CHB	TV (CpG+)	original
chr10	0.144452670098574	0.735857371703632	OK	0.44953650802563	CHB	TV (CpG+)	original
chr11	0.00565503255932219	0.629687251441905	OK	0.447936471927053	CHB	TV (CpG+)	original
chr12	0.172560609941893	0.701336994242523	OK	0.434495018037731	CHB	TV (CpG+)	original
chr13	0.200587753898234	0.670457906148149	OK	0.41632445950649	CHB	TV (CpG+)	original
chr14	0.398366819602385	0.625018999393682	OK	0.438490609527838	CHB	TV (CpG+)	original
chr15	0.172221492162538	0.654503437992363	OK	0.447155678361279	CHB	TV (CpG+)	original
chr16	0.199414690302518	0.687829905904014	OK	0.478284678116463	CHB	TV (CpG+)	original
chr17	0.111632002114299	0.728794361483653	OK	0.490466144286676	CHB	TV (CpG+)	original
chr18	0.11197717195208	0.760258584013064	OK	0.429361096211884	CHB	TV (CpG+)	original
chr19	0.00862797712856683	0.749961376666776	OK	0.521317348546763	CHB	TV (CpG+)	original
chr20	0.10800077110517	0.719316616712798	OK	0.474887498187079	CHB	TV (CpG+)	original
chr21	-0.150027573519598	0.786407788285101	OK	0.455579726647807	CHB	TV (CpG+)	original
chr22	0.00954895747140046	0.677366340408226	OK	0.522753879498575	CHB	TV (CpG+)	original
chr1	0.547447234884391	2.46110686595097	OK	0.411183605813014	YRI	TS (CpG-)	TS (CpG+)
chr2	0.667144025873054	2.39407692242827	OK	0.398268125775816	YRI	TS (CpG-)	TS (CpG+)
chr3	0.387568455310849	1.91999022172661	ERROR: ABNORMAL_TERMINATION_IN_LNSRCH	0.389204314677045	YRI	TS (CpG-)	TS (CpG+)
chr4	0.428712747448023	2.10891326720625	OK	0.375546107223123	YRI	TS (CpG-)	TS (CpG+)
chr5	0.373083811777268	2.12035452850314	ERROR: ABNORMAL_TERMINATION_IN_LNSRCH	0.390279706099115	YRI	TS (CpG-)	TS (CpG+)
chr6	0.476094759082274	2.3978112397192	OK	0.390722982752314	YRI	TS (CpG-)	TS (CpG+)
chr7	0.607922242676991	2.53207948350712	OK	0.398024629707425	YRI	TS (CpG-)	TS (CpG+)
chr8	0.433587471923174	2.07656941335779	OK	0.395872826362342	YRI	TS (CpG-)	TS (CpG+)
chr9	0.593838417324779	2.08085487441715	OK	0.405911955671485	YRI	TS (CpG-)	TS (CpG+)
chr10	0.507371265895736	2.40419551488057	OK	0.411691508523355	YRI	TS (CpG-)	TS (CpG+)
chr11	0.487905843066344	2.14878089968817	OK	0.410083791259598	YRI	TS (CpG-)	TS (CpG+)
chr12	0.561177894612946	2.45065899020823	OK	0.398987658601007	YRI	TS (CpG-)	TS (CpG+)
chr13	0.412343525236882	2.17858806303239	OK	0.381346478399431	YRI	TS (CpG-)	TS (CpG+)
chr14	0.463246483462942	2.16550530954862	OK	0.402443952263673	YRI	TS (CpG-)	TS (CpG+)
chr15	0.504614535069853	1.97004758661344	OK	0.416598750133844	YRI	TS (CpG-)	TS (CpG+)
chr16	0.53195705989669	2.13667103726343	OK	0.441865114670035	YRI	TS (CpG-)	TS (CpG+)
chr17	0.424503053508873	2.46606874750411	OK	0.449266659396123	YRI	TS (CpG-)	TS (CpG+)
chr18	0.589332942317402	2.25643377629803	OK	0.393556201066111	YRI	TS (CpG-)	TS (CpG+)
chr19	0.406001021339508	2.60436641508005	OK	0.485334907279258	YRI	TS (CpG-)	TS (CpG+)
chr20	0.60993501281772	2.28551938158974	OK	0.438628158680659	YRI	TS (CpG-)	TS (CpG+)
chr21	0.551264281144514	2.57300577749459	OK	0.4030211991464	YRI	TS (CpG-)	TS (CpG+)
chr22	0.395607039575716	2.3565349270277	OK	0.485506875990693	YRI	TS (CpG-)	TS (CpG+)
chr1	0.42714406681826	2.30159627624333	OK	0.410842754077338	TSI	TS (CpG-)	TS (CpG+)
chr2	0.481361478399793	2.30706187342468	OK	0.398607502015141	TSI	TS (CpG-)	TS (CpG+)
chr3	0.432880264123622	2.0076847364293	OK	0.389635060647222	TSI	TS (CpG-)	TS (CpG+)
chr4	0.379245638530579	2.19152122375344	OK	0.375591679327122	TSI	TS (CpG-)	TS (CpG+)
chr5	0.451816258298812	2.20841485875337	OK	0.39101927970047	TSI	TS (CpG-)	TS (CpG+)
chr6	0.4192865007637	2.2439435426886	OK	0.392198775702805	TSI	TS (CpG-)	TS (CpG+)
chr7	0.584469381478732	2.43415398710759	OK	0.398165378983585	TSI	TS (CpG-)	TS (CpG+)
chr8	0.403432892844045	2.14692225217738	OK	0.395410292752042	TSI	TS (CpG-)	TS (CpG+)
