chr	len	B	pop	cMmb	B_full	mType
chr12	130995916	0.113622281891762	PTE	0.965486597942553	0.14040557	TS (CpG-)
chr13	95599650	0.0080189594202723	PTE	0.918104434343982	0.14040557	TS (CpG-)
chr14	87716528	0.121437241160059	PTE	0.991696175766674	0.14040557	TS (CpG-)
chr15	80519282	0.207447778066024	PTE	1.04989831889643	0.14040557	TS (CpG-)
chr16	75912362	0.373807169275103	PTE	0.754075718957513	0.14040557	TS (CpG-)
chr17	76554115	0.479554138882778	PTE	1.26430676272066	0.14040557	TS (CpG-)
chr18	74774469	0.0708911907545828	PTE	0.998797310926666	0.14040557	TS (CpG-)
chr19	56733099	0.65584371193062	PTE	1.03509220470669	0.14040557	TS (CpG-)
chr20	64035432	0.370139568721569	PTE	1.0745071261891	0.14040557	TS (CpG-)
chr21	33232379	0.124928416091414	PTE	1.32679828497131	0.14040557	TS (CpG-)
chr22	33698415	0.712771111724523	PTE	1.24827724830818	0.14040557	TS (CpG-)
chr1	224244399	0.257668143749595	PTS	0.976823813618007	0.16102223	TS (CpG-)
chr2A	108022953	0.1849167771484	PTS	1.02473231552937	0.16102223	TS (CpG-)
chr2B	128755405	0.0758954136989328	PTS	0.98437713362705	0.16102223	TS (CpG-)
chr3	196562556	0.0605976209038762	PTS	0.915291353484599	0.16102223	TS (CpG-)
chr4	189151597	-0.0342315229739347	PTS	0.880678653578784	0.16102223	TS (CpG-)
chr5	159319378	0.0810415243765381	PTS	0.932681356579321	0.16102223	TS (CpG-)
chr6	168369391	0.09739579896837	PTS	0.996476049906186	0.16102223	TS (CpG-)
chr7	156046543	0.0910617464211368	PTS	0.995873238127247	0.16102223	TS (CpG-)
chr8	143338810	0.137434701298269	PTS	0.860785633155218	0.16102223	TS (CpG-)
chr9	110513671	0.1336003705435	PTS	0.982371958472604	0.16102223	TS (CpG-)
chr10	129809613	0.247774510584193	PTS	0.969603223934865	0.16102223	TS (CpG-)
chr11	130782606	0.231893456110462	PTS	0.936805632487439	0.16102223	TS (CpG-)
chr12	130995916	0.12929952638047	PTS	1.02423072094762	0.16102223	TS (CpG-)
chr13	95599650	-0.0126716840506419	PTS	1.05885752423561	0.16102223	TS (CpG-)
chr14	87716528	0.133878651490992	PTS	1.0321618499075	0.16102223	TS (CpG-)
chr15	80519282	0.241826111286974	PTS	1.19151570169338	0.16102223	TS (CpG-)
chr16	75912362	0.400183300143278	PTS	1.04071631863208	0.16102223	TS (CpG-)
chr17	76554115	0.509130233094701	PTS	1.30625776641415	0.16102223	TS (CpG-)
chr18	74774469	0.097953750722506	PTS	1.012437313464	0.16102223	TS (CpG-)
chr19	56733099	0.688246635382649	PTS	1.09612103609418	0.16102223	TS (CpG-)
chr20	64035432	0.425355654759021	PTS	1.16686923517631	0.16102223	TS (CpG-)
chr21	33232379	0.153362682154172	PTS	1.18714033169248	0.16102223	TS (CpG-)
chr22	33698415	0.738016497000597	PTS	1.25688128218823	0.16102223	TS (CpG-)
chr1	224244399	0.241528748589212	PTT	1.23391395541445	0.14631764	TS (CpG-)
chr2A	108022953	0.176039426666018	PTT	1.26681546981149	0.14631764	TS (CpG-)
chr2B	128755405	0.0705758704861811	PTT	1.31680199457596	0.14631764	TS (CpG-)
chr3	196562556	0.0398235538791061	PTT	1.18347613468949	0.14631764	TS (CpG-)
chr4	189151597	-0.0409360561753457	PTT	1.17287800409635	0.14631764	TS (CpG-)
chr5	159319378	0.0724628670801091	PTT	1.22586530119209	0.14631764	TS (CpG-)
chr6	168369391	0.0787104567815156	PTT	1.29052081558899	0.14631764	TS (CpG-)
chr7	156046543	0.0834428984167924	PTT	1.21879461768215	0.14631764	TS (CpG-)
chr8	143338810	0.129460475240567	PTT	1.19331643093255	0.14631764	TS (CpG-)
chr9	110513671	0.132244897641742	PTT	1.32802426250588	0.14631764	TS (CpG-)
chr10	129809613	0.233315224673386	PTT	1.25741980106554	0.14631764	TS (CpG-)
chr11	130782606	0.201455898422197	PTT	1.195401427387	0.14631764	TS (CpG-)
chr12	130995916	0.109387751201493	PTT	1.3265701780109	0.14631764	TS (CpG-)
chr13	95599650	-0.0365555693852144	PTT	1.41148839908588	0.14631764	TS (CpG-)
chr14	87716528	0.118165610318577	PTT	1.38771683138576	0.14631764	TS (CpG-)
chr15	80519282	0.251762121559598	PTT	1.46313225978938	0.14631764	TS (CpG-)
chr16	75912362	0.39278211697766	PTT	1.38042664201414	0.14631764	TS (CpG-)
chr17	76554115	0.47655859354277	PTT	1.59048641101867	0.14631764	TS (CpG-)
chr18	74774469	0.0955881064737141	PTT	1.42034148061503	0.14631764	TS (CpG-)
chr19	56733099	0.720588440847727	PTT	1.39878631735059	0.14631764	TS (CpG-)
chr20	64035432	0.409206058699624	PTT	1.42942100984408	0.14631764	TS (CpG-)
chr21	33232379	0.0991520195180399	PTT	1.67470981548762	0.14631764	TS (CpG-)
chr22	33698415	0.783560274380099	PTT	1.52265570605941	0.14631764	TS (CpG-)
chr1	224244399	0.169562461160572	PTV	1.03640950267103	0.08994456	TS (CpG-)
chr2A	108022953	0.0798153011696996	PTV	1.07029868449768	0.08994456	TS (CpG-)
chr2B	128755405	0.00821944875105102	PTV	1.036759054674	0.08994456	TS (CpG-)
chr3	196562556	0.025895276629136	PTV	1.00552239186256	0.08994456	TS (CpG-)
chr4	189151597	-0.0447406706944254	PTV	0.951051679298308	0.08994456	TS (CpG-)
chr5	159319378	-0.0039539261739464	PTV	0.942802169174789	0.08994456	TS (CpG-)
chr6	168369391	0.03382371750781	PTV	1.04649428293929	0.08994456	TS (CpG-)
chr7	156046543	0.0498554207543271	PTV	1.04885045126297	0.08994456	TS (CpG-)
chr8	143338810	0.0378795776766575	PTV	0.939642585830703	0.08994456	TS (CpG-)
chr9	110513671	0.0370552325086259	PTV	0.982442742022898	0.08994456	TS (CpG-)
chr10	129809613	0.131733296898553	PTV	1.03612016163971	0.08994456	TS (CpG-)
chr11	130782606	0.155396464930264	PTV	0.986782244629487	0.08994456	TS (CpG-)
chr12	130995916	0.0373465050925401	PTV	1.01027732097813	0.08994456	TS (CpG-)
chr13	95599650	-0.0468012030408341	PTV	1.09427804372909	0.08994456	TS (CpG-)
chr14	87716528	0.0751635005667322	PTV	1.20821292592098	0.08994456	TS (CpG-)
chr15	80519282	0.150017839870485	PTV	1.31118242277422	0.08994456	TS (CpG-)
chr16	75912362	0.285573197646734	PTV	1.07643446538922	0.08994456	TS (CpG-)
chr17	76554115	0.398839974613044	PTV	1.21204962152931	0.08994456	TS (CpG-)
chr18	74774469	0.0508589516984127	PTV	1.01831472467916	0.08994456	TS (CpG-)
chr19	56733099	0.616537371013952	PTV	1.13294955240098	0.08994456	TS (CpG-)
chr20	64035432	0.315898836928927	PTV	1.23285688205199	0.08994456	TS (CpG-)
chr21	33232379	0.0398800719009891	PTV	1.34169503572926	0.08994456	TS (CpG-)
chr22	33698415	0.612566220630605	PTV	1.26421464195651	0.08994456	TS (CpG-)
chr1	224244399	0.162762162205265	GGG	0.679791882960582	0.08354388	TS (CpG-)
chr2A	108022953	0.122949605509336	GGG	0.707574937442583	0.08354388	TS (CpG-)
chr2B	128755405	0.0327371475305136	GGG	0.70611235032187	0.08354388	TS (CpG-)
chr3	196562556	0.018517367297784	GGG	0.696300968433982	0.08354388	TS (CpG-)
chr4	189151597	-0.0797051280164845	GGG	0.595290755987372	0.08354388	TS (CpG-)
chr5	159319378	0.129962782189848	GGG	0.701217779890288	0.08354388	TS (CpG-)
chr6	168369391	0.0391418211761112	GGG	0.719498659764366	0.08354388	TS (CpG-)
chr7	156046543	0.0409310551284938	GGG	0.70195171590602	0.08354388	TS (CpG-)
chr8	143338810	0.0739805409879712	GGG	0.654799134325619	0.08354388	TS (CpG-)
chr9	110513671	0.0909126626230948	GGG	0.697594651759508	0.08354388	TS (CpG-)
chr10	129809613	0.148043433043205	GGG	0.673736943947476	0.08354388	TS (CpG-)
chr11	130782606	0.127605785639895	GGG	0.701107528500886	0.08354388	TS (CpG-)
chr12	130995916	0.0801045495512217	GGG	0.734658593494055	0.08354388	TS (CpG-)
chr13	95599650	-0.0374523988931764	GGG	0.709677895336083	0.08354388	TS (CpG-)
chr14	87716528	0.0789908595993531	GGG	0.802327029308636	0.08354388	TS (CpG-)
chr15	80519282	0.208459977365108	GGG	0.7238165044806	0.08354388	TS (CpG-)
chr16	75912362	0.274688084105173	GGG	0.764868550778665	0.08354388	TS (CpG-)
chr17	76554115	0.0681547793721601	GGG	0.731276888575543	0.08354388	TS (CpG-)
chr18	74774469	0.0417540004968493	GGG	0.720480446466746	0.08354388	TS (CpG-)
chr19	56733099	0.478817385445048	GGG	0.878159419003291	0.08354388	TS (CpG-)
chr20	64035432	0.281066339451718	GGG	0.775384573147947	0.08354388	TS (CpG-)
chr21	33232379	0.00434882982163458	GGG	0.814253262498361	0.08354388	TS (CpG-)
chr22	33698415	0.548250927159542	GGG	0.898998603092252	0.08354388	TS (CpG-)
chr1	224244399	0.33438757025697	PAB	0.456978261628212	0.27244353	TS (CpG-)
chr2A	108022953	0.327659103393493	PAB	0.465934179404098	0.27244353	TS (CpG-)
chr2B	128755405	0.234790470077185	PAB	0.485600263063433	0.27244353	TS (CpG-)
chr3	196562556	0.147754304455425	PAB	0.474322881625174	0.27244353	TS (CpG-)
chr4	189151597	0.0740226919502786	PAB	0.441963016773521	0.27244353	TS (CpG-)
chr5	159319378	0.180124127331779	PAB	0.449510101486604	0.27244353	TS (CpG-)
chr6	168369391	0.201977689485735	PAB	0.443788014602637	0.27244353	TS (CpG-)
chr7	156046543	0.244768528116244	PAB	0.49497964172575	0.27244353	TS (CpG-)
chr8	143338810	0.237193910920708	PAB	0.447044661648499	0.27244353	TS (CpG-)
chr9	110513671	0.303615861118296	PAB	0.5443048241718	0.27244353	TS (CpG-)
chr10	129809613	0.35345275966293	PAB	0.541000796913563	0.27244353	TS (CpG-)
chr11	130782606	0.366750299403965	PAB	0.457647379818853	0.27244353	TS (CpG-)
chr12	130995916	0.267322407377489	PAB	0.479878415811661	0.27244353	TS (CpG-)
chr13	95599650	0.092880830339703	PAB	0.468814235464177	0.27244353	TS (CpG-)
chr14	87716528	0.238574674339435	PAB	0.495860931617319	0.27244353	TS (CpG-)
chr15	80519282	0.428119920316291	PAB	0.551560661341977	0.27244353	TS (CpG-)
chr16	75912362	0.50691749690248	PAB	0.560444471158426	0.27244353	TS (CpG-)
chr17	76554115	0.560451853215293	PAB	0.638680298380616	0.27244353	TS (CpG-)
chr18	74774469	0.214390089569849	PAB	0.484985071027643	0.27244353	TS (CpG-)
chr19	56733099	0.726785058326007	PAB	0.523524055944389	0.27244353	TS (CpG-)
chr20	64035432	0.536029294388023	PAB	0.534906483780439	0.27244353	TS (CpG-)
chr21	33232379	0.196524915955662	PAB	0.575698263580347	0.27244353	TS (CpG-)
chr22	33698415	0.777452847793941	PAB	0.69195787632395	0.27244353	TS (CpG-)
chr1	224244399	0.253951389492487	PPY	0.642153082382352	0.18858013	TS (CpG-)
chr2A	108022953	0.241729564116133	PPY	0.690179828897179	0.18858013	TS (CpG-)
chr2B	128755405	0.15891428328643	PPY	0.656400081191095	0.18858013	TS (CpG-)
chr3	196562556	0.134122433026848	PPY	0.613596077442867	0.18858013	TS (CpG-)
chr4	189151597	0.0443210646589582	PPY	0.56983928753283	0.18858013	TS (CpG-)
chr5	159319378	0.140049562821338	PPY	0.613949914568803	0.18858013	TS (CpG-)
chr6	168369391	0.146900637217603	PPY	0.599534581015054	0.18858013	TS (CpG-)
chr7	156046543	0.17454429280637	PPY	0.663407680534762	0.18858013	TS (CpG-)
chr8	143338810	0.186755245321904	PPY	0.620324159575158	0.18858013	TS (CpG-)
chr9	110513671	0.209564262262995	PPY	0.671821169719956	0.18858013	TS (CpG-)
chr10	129809613	0.247568851533784	PPY	0.714636601172171	0.18858013	TS (CpG-)
chr11	130782606	0.259846201167776	PPY	0.657364170545663	0.18858013	TS (CpG-)
chr12	130995916	0.164418183497096	PPY	0.662672168139975	0.18858013	TS (CpG-)
chr13	95599650	0.0671859302744845	PPY	0.630184309078788	0.18858013	TS (CpG-)
chr14	87716528	0.167100010959249	PPY	0.627026186655573	0.18858013	TS (CpG-)
chr15	80519282	0.294691346074403	PPY	0.795223307510517	0.18858013	TS (CpG-)
chr16	75912362	0.352884231066183	PPY	0.737246886455712	0.18858013	TS (CpG-)
chr17	76554115	0.393505571430048	PPY	0.982215710234586	0.18858013	TS (CpG-)
chr18	74774469	0.144255178636446	PPY	0.643343421795248	0.18858013	TS (CpG-)
chr19	56733099	0.544394471167682	PPY	0.838214167315053	0.18858013	TS (CpG-)
chr20	64035432	0.389678440414204	PPY	0.866454079322368	0.18858013	TS (CpG-)
chr21	33232379	0.147744083550009	PPY	0.845245976261057	0.18858013	TS (CpG-)
chr22	33698415	0.566876953353817	PPY	0.895640009672324	0.18858013	TS (CpG-)
chr1	224244399	0.694186376426273	PPA	0.964983011973026	0.618322	TS (CpG+)
chr2A	108022953	0.620173409125692	PPA	1.08235779441545	0.618322	TS (CpG+)
chr2B	128755405	0.557354300262281	PPA	0.926364067802902	0.618322	TS (CpG+)
chr3	196562556	0.49374910959191	PPA	0.945339749753228	0.618322	TS (CpG+)
chr4	189151597	0.492907125548666	PPA	0.884169808093771	0.618322	TS (CpG+)
chr5	159319378	0.545822792591819	PPA	0.95091973422777	0.618322	TS (CpG+)
chr6	168369391	0.547127591229958	PPA	1.00921407718121	0.618322	TS (CpG+)
chr7	156046543	0.608327631542213	PPA	1.02012872895254	0.618322	TS (CpG+)
chr8	143338810	0.626792928001056	PPA	0.870533584150345	0.618322	TS (CpG+)
chr9	110513671	0.553984534491607	PPA	1.03718611895887	0.618322	TS (CpG+)
chr10	129809613	0.74754834219189	PPA	1.04977903017405	0.618322	TS (CpG+)
chr11	130782606	0.666810667812424	PPA	0.966079572576254	0.618322	TS (CpG+)
chr12	130995916	0.598908036355608	PPA	1.05801476787213	0.618322	TS (CpG+)
chr13	95599650	0.536807814457755	PPA	1.05737063126141	0.618322	TS (CpG+)
chr14	87716528	0.580553791572316	PPA	1.10246091360445	0.618322	TS (CpG+)
chr15	80519282	0.664702519469883	PPA	1.22233414597585	0.618322	TS (CpG+)
chr16	75912362	0.787856442056839	PPA	1.09856079958766	0.618322	TS (CpG+)
chr17	76554115	0.950029038598367	PPA	1.3327255038086	0.618322	TS (CpG+)
chr18	74774469	0.607867960002212	PPA	1.09413511797767	0.618322	TS (CpG+)
chr19	56733099	1.09891752588945	PPA	1.28797605841727	0.618322	TS (CpG+)
chr20	64035432	0.859819162952584	PPA	1.24068062595749	0.618322	TS (CpG+)
chr21	33232379	0.709929750242664	PPA	1.3241352513763	0.618322	TS (CpG+)
chr22	33698415	1.07626150981685	PPA	1.36505270135152	0.618322	TS (CpG+)
chr1	224244399	0.632403986334068	PTE	0.936000352436791	0.5821829	TS (CpG+)
chr2A	108022953	0.567288738496149	PTE	0.947423294410477	0.5821829	TS (CpG+)
chr2B	128755405	0.500210580750146	PTE	0.943525606564059	0.5821829	TS (CpG+)
chr3	196562556	0.412001948763329	PTE	0.846442326350805	0.5821829	TS (CpG+)
chr4	189151597	0.396997270118209	PTE	0.832296572368962	0.5821829	TS (CpG+)
chr5	159319378	0.460790130678466	PTE	0.897025180033084	0.5821829	TS (CpG+)
chr6	168369391	0.505880918635796	PTE	0.872533258945121	0.5821829	TS (CpG+)
chr7	156046543	0.58326801970781	PTE	0.883557935445032	0.5821829	TS (CpG+)
chr8	143338810	0.562969712347709	PTE	0.883596555519076	0.5821829	TS (CpG+)
chr9	110513671	0.563569925232987	PTE	1.0279444197852	0.5821829	TS (CpG+)
chr10	129809613	0.701679628238241	PTE	0.993464671972679	0.5821829	TS (CpG+)
chr11	130782606	0.614630440417289	PTE	0.854591170580845	0.5821829	TS (CpG+)
chr12	130995916	0.586828585637879	PTE	0.965486597942553	0.5821829	TS (CpG+)
chr13	95599650	0.477769686908526	PTE	0.918104434343982	0.5821829	TS (CpG+)
chr14	87716528	0.579319918700783	PTE	0.991696175766674	0.5821829	TS (CpG+)
chr15	80519282	0.591248269481146	PTE	1.04989831889643	0.5821829	TS (CpG+)
chr16	75912362	0.831467597374994	PTE	0.754075718957513	0.5821829	TS (CpG+)
chr17	76554115	0.931126933437887	PTE	1.26430676272066	0.5821829	TS (CpG+)
chr18	74774469	0.566241348569586	PTE	0.998797310926666	0.5821829	TS (CpG+)
chr19	56733099	1.0744390088167	PTE	1.03509220470669	0.5821829	TS (CpG+)
chr20	64035432	0.839678695198106	PTE	1.0745071261891	0.5821829	TS (CpG+)
chr21	33232379	0.780629901165786	PTE	1.32679828497131	0.5821829	TS (CpG+)
chr22	33698415	1.17666996804693	PTE	1.24827724830818	0.5821829	TS (CpG+)
chr1	224244399	0.681465458450871	PTS	0.976823813618007	0.6017023	TS (CpG+)
chr2A	108022953	0.588155130780108	PTS	1.02473231552937	0.6017023	TS (CpG+)
chr2B	128755405	0.517498685068662	PTS	0.98437713362705	0.6017023	TS (CpG+)
chr3	196562556	0.407817673262826	PTS	0.915291353484599	0.6017023	TS (CpG+)
chr4	189151597	0.376513040788308	PTS	0.880678653578784	0.6017023	TS (CpG+)
chr5	159319378	0.469497286143517	PTS	0.932681356579321	0.6017023	TS (CpG+)
chr6	168369391	0.520736207897125	PTS	0.996476049906186	0.6017023	TS (CpG+)
chr7	156046543	0.585049632370139	PTS	0.995873238127247	0.6017023	TS (CpG+)
chr8	143338810	0.550884986451574	PTS	0.860785633155218	0.6017023	TS (CpG+)
chr9	110513671	0.541084305134525	PTS	0.982371958472604	0.6017023	TS (CpG+)
chr10	129809613	0.710262804765935	PTS	0.969603223934865	0.6017023	TS (CpG+)
chr11	130782606	0.624451136325458	PTS	0.936805632487439	0.6017023	TS (CpG+)
chr12	130995916	0.550652821455436	PTS	1.02423072094762	0.6017023	TS (CpG+)
chr13	95599650	0.50125609029865	PTS	1.05885752423561	0.6017023	TS (CpG+)
chr14	87716528	0.587964112632112	PTS	1.0321618499075	0.6017023	TS (CpG+)
chr15	80519282	0.58283836713752	PTS	1.19151570169338	0.6017023	TS (CpG+)
chr16	75912362	0.830563461334131	PTS	1.04071631863208	0.6017023	TS (CpG+)
chr17	76554115	0.956785540443253	PTS	1.30625776641415	0.6017023	TS (CpG+)
chr18	74774469	0.57167067975959	PTS	1.012437313464	0.6017023	TS (CpG+)
chr19	56733099	1.10861784275825	PTS	1.09612103609418	0.6017023	TS (CpG+)
chr20	64035432	0.856046693036586	PTS	1.16686923517631	0.6017023	TS (CpG+)
chr21	33232379	0.794253726097305	PTS	1.18714033169248	0.6017023	TS (CpG+)
chr22	33698415	1.18382291820761	PTS	1.25688128218823	0.6017023	TS (CpG+)
chr1	224244399	0.616747268911322	PTT	1.23391395541445	0.5482991	TS (CpG+)
chr2A	108022953	0.532390589035356	PTT	1.26681546981149	0.5482991	TS (CpG+)
chr2B	128755405	0.471186781857928	PTT	1.31680199457596	0.5482991	TS (CpG+)
chr3	196562556	0.344206067484503	PTT	1.18347613468949	0.5482991	TS (CpG+)
chr4	189151597	0.328793039824799	PTT	1.17287800409635	0.5482991	TS (CpG+)
chr5	159319378	0.434390867739469	PTT	1.22586530119209	0.5482991	TS (CpG+)
chr6	168369391	0.455163142585198	PTT	1.29052081558899	0.5482991	TS (CpG+)
chr7	156046543	0.523398865160893	PTT	1.21879461768215	0.5482991	TS (CpG+)
chr8	143338810	0.511795369499177	PTT	1.19331643093255	0.5482991	TS (CpG+)
chr9	110513671	0.496297004056176	PTT	1.32802426250588	0.5482991	TS (CpG+)
chr10	129809613	0.681403780394231	PTT	1.25741980106554	0.5482991	TS (CpG+)
chr11	130782606	0.575867418996663	PTT	1.195401427387	0.5482991	TS (CpG+)
chr12	130995916	0.514409415642645	PTT	1.3265701780109	0.5482991	TS (CpG+)
chr13	95599650	0.423615044110674	PTT	1.41148839908588	0.5482991	TS (CpG+)
chr14	87716528	0.535057958256835	PTT	1.38771683138576	0.5482991	TS (CpG+)
chr15	80519282	0.554069568515065	PTT	1.46313225978938	0.5482991	TS (CpG+)
chr16	75912362	0.797152126127508	PTT	1.38042664201414	0.5482991	TS (CpG+)
chr17	76554115	0.943593444786592	PTT	1.59048641101867	0.5482991	TS (CpG+)
chr18	74774469	0.535350060659742	PTT	1.42034148061503	0.5482991	TS (CpG+)
chr19	56733099	1.11759519541607	PTT	1.39878631735059	0.5482991	TS (CpG+)
chr20	64035432	0.819361697666392	PTT	1.42942100984408	0.5482991	TS (CpG+)
chr21	33232379	0.722896718970073	PTT	1.67470981548762	0.5482991	TS (CpG+)
chr22	33698415	1.15099349139676	PTT	1.52265570605941	0.5482991	TS (CpG+)
chr1	224244399	0.686373932851848	PTV	1.03640950267103	0.638769	TS (CpG+)
chr2A	108022953	0.60351870334059	PTV	1.07029868449768	0.638769	TS (CpG+)
chr2B	128755405	0.592363724607582	PTV	1.036759054674	0.638769	TS (CpG+)
chr3	196562556	0.4707609837176	PTV	1.00552239186256	0.638769	TS (CpG+)
chr4	189151597	0.465159458441961	PTV	0.951051679298308	0.638769	TS (CpG+)
chr5	159319378	0.545877184586921	PTV	0.942802169174789	0.638769	TS (CpG+)
chr6	168369391	0.557651513831655	PTV	1.04649428293929	0.638769	TS (CpG+)
chr7	156046543	0.592800177300322	PTV	1.04885045126297	0.638769	TS (CpG+)
chr8	143338810	0.579646239795106	PTV	0.939642585830703	0.638769	TS (CpG+)
chr9	110513671	0.6128267070553	PTV	0.982442742022898	0.638769	TS (CpG+)
chr10	129809613	0.73645903373981	PTV	1.03612016163971	0.638769	TS (CpG+)
chr11	130782606	0.669450331662232	PTV	0.986782244629487	0.638769	TS (CpG+)
chr12	130995916	0.63632178999439	PTV	1.01027732097813	0.638769	TS (CpG+)
chr13	95599650	0.526589816659375	PTV	1.09427804372909	0.638769	TS (CpG+)
chr14	87716528	0.596164994455897	PTV	1.20821292592098	0.638769	TS (CpG+)
chr15	80519282	0.589578006601736	PTV	1.31118242277422	0.638769	TS (CpG+)
chr16	75912362	0.808819702162852	PTV	1.07643446538922	0.638769	TS (CpG+)
chr17	76554115	0.91320150444912	PTV	1.21204962152931	0.638769	TS (CpG+)
chr18	74774469	0.556455162733062	PTV	1.01831472467916	0.638769	TS (CpG+)
chr19	56733099	1.08114123427708	PTV	1.13294955240098	0.638769	TS (CpG+)
chr20	64035432	0.84969548425372	PTV	1.23285688205199	0.638769	TS (CpG+)
chr21	33232379	0.710682831655672	PTV	1.34169503572926	0.638769	TS (CpG+)
chr22	33698415	1.14192420091594	PTV	1.26421464195651	0.638769	TS (CpG+)
chr1	224244399	0.464355938582191	GGG	0.679791882960582	0.4022993	TS (CpG+)
chr2A	108022953	0.435341889156152	GGG	0.707574937442583	0.4022993	TS (CpG+)
chr2B	128755405	0.359919597483372	GGG	0.70611235032187	0.4022993	TS (CpG+)
chr3	196562556	0.29208182253851	GGG	0.696300968433982	0.4022993	TS (CpG+)
chr4	189151597	0.232752422381736	GGG	0.595290755987372	0.4022993	TS (CpG+)
chr5	159319378	0.451046556455312	GGG	0.701217779890288	0.4022993	TS (CpG+)
chr6	168369391	0.359417122703594	GGG	0.719498659764366	0.4022993	TS (CpG+)
chr7	156046543	0.393595816016712	GGG	0.70195171590602	0.4022993	TS (CpG+)
chr8	143338810	0.369140958198002	GGG	0.654799134325619	0.4022993	TS (CpG+)
chr9	110513671	0.402414726448045	GGG	0.697594651759508	0.4022993	TS (CpG+)
chr10	129809613	0.543539548875714	GGG	0.673736943947476	0.4022993	TS (CpG+)
chr11	130782606	0.391553656678172	GGG	0.701107528500886	0.4022993	TS (CpG+)
chr12	130995916	0.416460625636709	GGG	0.734658593494055	0.4022993	TS (CpG+)
chr13	95599650	0.328947267332508	GGG	0.709677895336083	0.4022993	TS (CpG+)
chr14	87716528	0.37828834799522	GGG	0.802327029308636	0.4022993	TS (CpG+)
chr15	80519282	0.503943838399583	GGG	0.7238165044806	0.4022993	TS (CpG+)
chr16	75912362	0.631815506292417	GGG	0.764868550778665	0.4022993	TS (CpG+)
chr17	76554115	0.410968338051592	GGG	0.731276888575543	0.4022993	TS (CpG+)
chr18	74774469	0.37860394053397	GGG	0.720480446466746	0.4022993	TS (CpG+)
chr19	56733099	0.797816609952769	GGG	0.878159419003291	0.4022993	TS (CpG+)
chr20	64035432	0.594680685516913	GGG	0.775384573147947	0.4022993	TS (CpG+)
chr21	33232379	0.483387790394299	GGG	0.814253262498361	0.4022993	TS (CpG+)
chr22	33698415	0.931036895003664	GGG	0.898998603092252	0.4022993	TS (CpG+)
chr1	224244399	0.327757188232471	PAB	0.456978261628212	0.2984076	TS (CpG+)
