chr	B_berg	B_glem	bias	conv	pGC	pop	mType	cMmb
chr15	0.492301305800904	0.561885961902215	2.01788614431703	OK	0.447155678361279	CHB	TS (CpG+)	1.21291778793978
chr16	0.640883511156771	0.742521503204623	2.18293627310953	OK	0.478284678116463	CHB	TS (CpG+)	1.48465001553441
chr17	0.704219086127847	0.582325017297589	2.36651075934444	OK	0.490466144286676	CHB	TS (CpG+)	1.31297761830177
chr18	0.539883303771428	0.452184740487897	2.2693240524841	OK	0.429361096211884	CHB	TS (CpG+)	1.23043959591495
chr19	0.811112086181889	0.587753446956544	2.58815963861446	OK	0.521317348546763	CHB	TS (CpG+)	1.63813305113291
chr20	0.685793111563614	0.517613579622958	2.26624094666414	OK	0.474887498187079	CHB	TS (CpG+)	1.26366147786993
chr21	0.677068248610913	0.587817570909761	2.48023890801281	OK	0.455579726647807	CHB	TS (CpG+)	1.57226379753883
chr22	0.857611361110226	0.769795440579283	2.44368460136991	OK	0.522753879498575	CHB	TS (CpG+)	1.48203403549952
chr1	0.54889901723582	0.401530350178029	2.41981571567162	OK	0.410290134551131	YRI	TV (CpG-)	0.685783735697955
chr2	0.506709323941668	0.582390717277349	2.41630404890964	OK	0.397773753979045	YRI	TV (CpG-)	0.681110904047995
chr3	0.477029791293369	0.576926459352111	2.4698832340571	OK	0.387846759239608	YRI	TV (CpG-)	0.686104762110133
chr4	0.491366019243114	0.651173965573826	2.92727608008555	OK	0.375546887901391	YRI	TV (CpG-)	0.7435193866838
chr5	0.476384807789589	0.549174197171666	2.50875189551487	OK	0.388581357180729	YRI	TV (CpG-)	0.688027508281026
chr6	0.482565294027401	0.563064276912957	2.70011858854771	OK	0.389660999547971	YRI	TV (CpG-)	0.694773081448792
chr7	0.498545443566204	0.572690492293534	2.36717182466286	OK	0.397790008971034	YRI	TV (CpG-)	0.74696726627611
chr8	0.503456439568607	0.586610093413135	2.67149554134836	OK	0.396610978212938	YRI	TV (CpG-)	0.770348379322674
chr9	0.451605094233766	0.824027351149077	2.54395388120091	OK	0.403419921942384	YRI	TV (CpG-)	0.977212446888996
chr10	0.531486855914831	0.474330120914558	2.44388845515133	OK	0.411145380463524	YRI	TV (CpG-)	0.810778246693081
chr11	0.57980225956337	0.682436767509444	2.55242169554992	OK	0.40892537134754	YRI	TV (CpG-)	0.736834908957531
chr12	0.477116308467724	0.401076369218843	2.39054303614632	OK	0.397030615232237	YRI	TV (CpG-)	0.767135433703375
chr13	0.478022410183356	0.535222070918345	2.55042071755373	OK	0.379012024688818	YRI	TV (CpG-)	0.797334760747316
chr14	0.507588787485973	0.554926008188285	2.41558939145134	OK	0.401306913356862	YRI	TV (CpG-)	0.823631703923737
chr15	0.480569574413744	0.906748043572843	2.39740408191374	OK	0.417029479736473	YRI	TV (CpG-)	1.04114829938583
chr16	0.604079676442469	0.855197982944034	2.24807379175524	OK	0.442344174832068	YRI	TV (CpG-)	0.958454472363975
chr17	0.629715107140931	0.599109421207289	2.23598441265698	OK	0.449184342534465	YRI	TV (CpG-)	1.02277415669326
chr18	0.504293753239124	0.54801766148023	2.45506992981382	OK	0.392752642933091	YRI	TV (CpG-)	0.975597067167833
chr19	0.674835447580964	0.350402900486195	2.17560053703255	OK	0.483190547731923	YRI	TV (CpG-)	1.2256898694543
chr20	0.650341789092651	0.625589257873679	2.33129999568609	OK	0.438600176459479	YRI	TV (CpG-)	1.01014387249997
chr21	0.503803208391314	0.645907796789533	2.34493652329492	OK	0.401841757176769	YRI	TV (CpG-)	1.25728658110762
chr22	0.727550685324166	0.534176554658591	2.09876700200319	OK	0.486409798302062	YRI	TV (CpG-)	1.2820140822115
chr1	0.442420395987713	0.146628294429714	2.2781823804836	OK	0.410537686647489	TSI	TV (CpG-)	0.720287017554453
chr2	0.42349398396119	0.406161904707678	2.3542949358463	OK	0.397982594685792	TSI	TV (CpG-)	0.725060948596874
chr3	0.387597154422626	0.362083396064736	2.39407615629084	OK	0.388389702900208	TSI	TV (CpG-)	0.736307676647501
chr4	0.417004031033835	0.352145770242085	2.54738649983534	OK	0.376432669005312	TSI	TV (CpG-)	0.746113377820252
chr5	0.412581249768406	0.329474374196458	2.45172678612154	OK	0.389522801197846	TSI	TV (CpG-)	0.727367605943088
chr6	0.442153064733281	0.323625110163667	2.37711679431477	OK	0.390888404429471	TSI	TV (CpG-)	0.771541244654946
chr7	0.456906302018153	0.450936529851213	2.33492952296385	OK	0.398718474252047	TSI	TV (CpG-)	0.795158305542454
chr8	0.426623650169578	0.37635709372928	2.36087326993122	OK	0.396805109626908	TSI	TV (CpG-)	0.806934668279587
chr9	0.407883810183249	0.542113370760077	2.2307541367671	OK	0.402532329740999	TSI	TV (CpG-)	1.11382128396409
chr10	0.467978764252073	0.306600063135036	2.33067154810511	OK	0.412690650100054	TSI	TV (CpG-)	0.874912678342994
chr11	0.473010838917999	0.463037468141323	2.34620987765956	OK	0.408574104397303	TSI	TV (CpG-)	0.786803670907385
chr12	0.429268069308292	0.324404057997477	2.32404412287994	OK	0.397738906149621	TSI	TV (CpG-)	0.791783931076905
chr13	0.405377279787331	0.34704556260257	2.41164568562975	OK	0.378983824026365	TSI	TV (CpG-)	0.83824823267946
chr14	0.423469131409488	0.422560716893381	2.33235397869468	OK	0.400718971530812	TSI	TV (CpG-)	0.918706477201831
chr15	0.395237801299184	0.558309690781457	2.13063325828317	OK	0.416301252629998	TSI	TV (CpG-)	1.04225466542124
chr16	0.452438293984608	0.518516372794201	2.08210162666429	OK	0.440648079034749	TSI	TV (CpG-)	1.00724555801098
chr17	0.554628090351083	0.530853360989889	2.14873550345002	OK	0.452000349904206	TSI	TV (CpG-)	1.01868638167794
chr18	0.419570602726331	0.382341149318267	2.35062655528623	OK	0.393700996833038	TSI	TV (CpG-)	1.06280373488334
chr19	0.549295291464946	0.148802692308699	2.10324587922342	OK	0.48468015687644	TSI	TV (CpG-)	1.37441450894711
chr20	0.534357171852022	0.493350221184414	2.32668876380122	OK	0.438075330208061	TSI	TV (CpG-)	1.09133838419659
chr21	0.41574419383913	0.370320864487162	2.25110680822802	OK	0.404961936715416	TSI	TV (CpG-)	1.34051634941589
chr22	0.57168654402151	0.524029278531064	2.1144357747736	OK	0.485209268398461	TSI	TV (CpG-)	1.29718167493405
chr1	0.35579728301397	0.0181975912734836	2.12519937710421	OK	0.41133601391521	CHB	TV (CpG-)	0.859248542211154
chr2	0.377632675420048	0.294877734174541	2.21453985912798	OK	0.397849367887143	CHB	TV (CpG-)	0.807955288629211
chr3	0.36270940124311	0.31005982737608	2.24813504821776	OK	0.38903048437542	CHB	TV (CpG-)	0.913702117080573
chr4	0.398126676276823	0.240021506871547	2.41752291819982	OK	0.375948843114599	CHB	TV (CpG-)	0.851482273915613
chr5	0.401762238589317	0.307158486412898	2.34605217180359	OK	0.389261836741083	CHB	TV (CpG-)	0.830918972291403
chr6	0.426141823627758	0.280247982151794	2.3248478245351	OK	0.39070039911554	CHB	TV (CpG-)	0.933357068520028
chr7	0.41597350321188	0.33689515005153	2.35479730795475	OK	0.397824358906548	CHB	TV (CpG-)	0.904158542311514
chr8	0.396211665731451	0.246673242981458	2.23209005524573	OK	0.397199238592822	CHB	TV (CpG-)	0.949884695725321
chr9	0.395582981152655	0.474998197120472	2.19104689205125	OK	0.402745596470975	CHB	TV (CpG-)	1.13195445492331
chr10	0.44777126144617	0.242094272869123	2.23872725646148	OK	0.41279351665989	CHB	TV (CpG-)	1.03889217297017
chr11	0.449495678599317	0.353420660818723	2.25631818934973	OK	0.408072375168245	CHB	TV (CpG-)	0.895138667039126
chr12	0.409633509833796	0.345666249807118	2.45376918170182	OK	0.397367698121598	CHB	TV (CpG-)	0.954531336487938
chr13	0.394872093866566	0.364027261913178	2.50674103541333	OK	0.378673148480818	CHB	TV (CpG-)	0.951664956265611
chr14	0.38688020115451	0.183593297139363	2.22037617399396	OK	0.400771186087543	CHB	TV (CpG-)	1.04352639609415
chr15	0.36928970451728	0.506456052861887	2.1119025193556	OK	0.416377118078956	CHB	TV (CpG-)	1.21291778793978
chr16	0.450206906798876	0.487334421029028	2.07363558671185	OK	0.440333333638981	CHB	TV (CpG-)	1.48465001553441
chr17	0.495074892780617	0.436770099647431	2.12490959710958	OK	0.451550572318683	CHB	TV (CpG-)	1.31297761830177
chr18	0.397319646231323	0.327105481810977	2.23545409091631	OK	0.394096899024438	CHB	TV (CpG-)	1.23043959591495
chr19	0.475469427319577	0.272923451357906	1.96939390221987	OK	0.481801873471444	CHB	TV (CpG-)	1.63813305113291
chr20	0.470804376439067	0.320561801672383	2.12342478801492	OK	0.437432532323986	CHB	TV (CpG-)	1.26366147786993
chr21	0.365116601361378	0.3883466422188	2.22290669302933	OK	0.40232306952268	CHB	TV (CpG-)	1.57226379753883
chr22	0.521998231852373	0.368612183177991	1.93150025175928	OK	0.485683892618626	CHB	TV (CpG-)	1.48203403549952
